Date,Value Date,Bank Account,Narration,Party Name,Mode,Reference No,Type,Debit,Credit,Balance,Auto Tag,Inter-Bank Excluded?,Source Email Date,Processed On
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-IN42616651794318-ISPL05BLSIPLUP1-BIG LANGUAGE SOLUTIONS INDIA PRIVATE LIMITED-025305010417-ICI,ISPL05BLSIPLUP1,NEFT,S4762668,RECEIPT,,366820.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-IN42616651794459-ISPL05BLSIPLUP1-BIG LANGUAGE SOLUTIONS INDIA PRIVATE LIMITED-025305010417-ICI,ISPL05BLSIPLUP1,NEFT,S4763135,RECEIPT,,11869.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/IN22616625492131/CMS5719188740_1/NEFT/FT/RTG,,NEFT,S2046686,RECEIPT,,6399.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,EZY/ICICIPOS_SET_10XX243944_150626,POS Settlement,POS,S2312119,RECEIPT,,12484.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793930/950073107,,CMS,S7476597,PAYMENT,125571.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798665/950163171,,CMS,S7475766,PAYMENT,2153.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798671/950163172,,CMS,S7476602,PAYMENT,2211.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798737/950163601,,CMS,S7477119,PAYMENT,11335.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798652/950077112,,CMS,S7475768,PAYMENT,128921.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798721/950163596,,CMS,S7477101,PAYMENT,15042.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798762/950163604,,CMS,S7477143,PAYMENT,5416.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955803673/950163178,,CMS,S7477166,PAYMENT,35767.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-HSBCN16656651848-CUSHMAN AND WAKEFIELD PROPERTY MANA-ACCNEFTRECSEND-051-631794-001-HSBC0110002,CUSHMAN AND WAKEFIELD PROPERTY MANA,NEFT,S7509621,RECEIPT,,543538.62,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,MMT/IMPS/616633623047/Inv 0754 June 2/SIERRA CLO/HDFC Bank,SIERRA CLO,IMPS,S8456609,RECEIPT,,36368.98,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955793920/949951441,,CMS,S9890947,PAYMENT,186763.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955798746/950163602,,CMS,S9891319,PAYMENT,28103.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-DEUTN26166747666-G2CS FACILITIES PRIVATE LIMITED--100041295150019-DEUT0784PBC,G2CS FACILITIES PRIVATE LIMITED,NEFT,S9941050,RECEIPT,,14233.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,TRF/GALLERIA OWNERS ASSOCIAT/001583/ICI/10.06.2026,GALLERIA OWNERS ASSOCIAT,TRF,M3374810,RECEIPT,,255549.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/IN22616625492195/CMS5719207307_1/NEFT/FT/RTG,,NEFT,S10487097,RECEIPT,,1750.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/IN22616625492196/CMS5719207308_1/NEFT/FT/RTG,,NEFT,S10487109,RECEIPT,,18079.00,,Client Receipt,NO,2026-06-16,2026-06-16
